entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability
2023-11-28 09:25:00,2023-11-28 15:45:00,1,335.65,338.4,eod,2.75,0.1202215,2.6297785,82838.02275,1.0,2023-11-28,336.0,336.0,335.6,0.0,338.4,338.4,338.4,0.0,1.0,2023,64.0776699029121,0.5633439469310701,0.4680834210834926,0.0952605258475775,0.5642857142857126,339.13928571428573,1.0,335.07000000000005,334.27000000000004,336.9019963227132,333.23800367728694,335.07000000000005,1,9,1,11,0.66333485
2023-12-04 09:20:00,2023-12-04 13:00:00,1,337.05,336.0,eod,-1.0500000000000114,0.1201915,-1.1701915000000114,-36861.03225000036,1.0,2023-12-04,337.15,337.35,336.9,0.0,336.0,336.45,336.0,0.0,1.0,2023,69.23076923076906,0.4381941029963627,0.2992800413624642,0.1389140616338985,0.6642857142857151,339.6535714285714,1.0,336.18,335.9,338.293465599961,334.066534400039,336.18,0,9,0,12,0.6224976
2023-12-08 09:05:00,2023-12-08 15:45:00,1,335.65,337.25,eod,1.6000000000000227,0.120187,1.4798130000000227,46614.10950000071,1.0,2023-12-08,335.45,335.7,335.2,0.0,337.25,337.25,337.25,0.0,1.0,2023,74.75728155339856,0.5589575212886757,0.2167663934339126,0.3421911278547631,0.5750000000000048,339.6535714285714,1.0,333.39500000000004,333.17,335.77626459108365,331.01373540891643,333.39500000000004,1,9,4,12,0.7003579
2023-12-20 09:00:00,2023-12-20 15:45:00,1,347.65,351.65,eod,4.0,0.120979,3.879021,122189.1615,1.0,2023-12-20,347.55,347.9,347.45,0.0,351.65,351.65,351.65,0.0,1.0,2023,86.90476190476278,0.8182014768427734,0.4706686807090885,0.3475327961336849,0.4357142857142792,348.4678571428572,1.0,345.15,344.43500000000006,347.80766022937206,342.4923397706279,345.15,1,9,2,12,0.7641252
2023-12-27 11:00:00,2023-12-27 15:45:00,1,353.45,355.9,eod,2.4499999999999886,0.1212805,2.3287194999999885,73354.66424999964,1.0,2023-12-27,353.65,353.75,353.4,0.0,355.9,355.9,355.9,0.0,1.0,2023,66.66666666666615,0.3197478969387362,0.2201255157608147,0.0996223811779214,0.4500000000000008,355.7946428571429,1.0,352.75000000000006,352.1375,353.8583415775876,351.64165842241255,352.75000000000006,1,11,2,12,0.8517672
2023-12-28 11:15:00,2023-12-28 15:05:00,1,358.75,360.7,pivot,1.9499999999999889,0.1215835,1.8284164999999888,57595.11974999964,1.0,2023-12-28,358.8,359.0,358.7,0.0,361.1,361.15,360.7,0.0,1.0,2023,87.27272727272671,0.7559444005647151,0.6515117367344591,0.104432663830256,0.403571428571431,359.4553571428572,1.0,357.36,355.82,359.30465529348186,355.41534470651817,357.36,1,11,3,12,0.77751034
2023-12-28 15:05:00,2023-12-28 15:45:00,1,360.7,362.7,eod,2.0,0.121702,1.878298,59166.387,1.0,2023-12-28,361.1,361.15,360.7,0.0,362.7,362.7,362.7,0.0,1.0,2023,86.66666666666603,0.5255097050664403,0.375117326961523,0.1503923781049173,0.3714285714285706,361.4821428571428,1.0,359.64,359.02833333333336,361.2878374983526,357.9921625016474,359.64,1,15,3,12,0.77976924
2024-01-02 12:20:00,2024-01-02 15:45:00,1,360.55,363.8,eod,3.25,0.1217305,3.1282695,98540.48925,1.0,2024-01-02,360.35,360.7,360.25,0.0,363.8,363.8,363.8,0.0,0.0,2024,58.62068965517248,0.2116525685165129,0.2464820153131216,-0.0348294467966087,0.4642857142857183,361.8732142857143,1.0,360.4175,,361.3387548650159,359.4962451349841,360.4175,1,12,1,1,0.83630157
2024-01-26 09:15:00,2024-01-26 14:05:00,1,334.35,336.4,eod,2.0499999999999545,0.1201225,1.9298774999999544,60791.14124999857,1.0,2024-01-26,334.7,334.8,334.1,0.0,336.4,336.45,336.3,0.0,1.0,2024,49.24242424242407,-0.164784255367465,-0.1708306781802443,0.0060464228127793,0.7428571428571453,335.76428571428573,1.0,334.575,334.605,335.98081499116915,333.1691850088308,334.575,1,9,4,1,0.7775091
2024-02-01 09:35:00,2024-02-01 15:45:00,1,340.25,342.15,eod,1.8999999999999773,0.120472,1.7795279999999774,56055.131999999285,1.0,2024-02-01,339.85,340.4,339.8,0.0,342.15,342.15,342.15,0.0,1.0,2024,66.86746987951858,0.7786540577619121,0.3994134962427109,0.3792405615192011,0.9035714285714268,334.72857142857146,-1.0,337.6075,337.14666666666665,340.57526985204106,334.63973014795886,337.6075,1,9,3,2,0.60949934
