entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,atr_stop_loss,atr_take_profit
2021-03-11 10:00:00,2021-03-11 12:35:00,1,407.9,412.35,pivot,4.4500000000000455,0.1246075,4.325392500000046,136249.86375000144,1.0,2021-03-11,407.75,408.0,407.45,0.0,412.2,412.55,412.2,0.0,1.0,2021,69.23076923076931,1.0328138991474702,0.9007743644605116,0.1320395346869585,1.0892857142857102,397.6375,-1.0,406.2475,405.3358333333333,410.34839528094864,402.14660471905137,406.2475,1,10,3,3,0.686714,0.8538022219326566,1.6339285714285654,3.812499999999986
2021-05-04 14:20:00,2021-05-04 15:45:00,1,421.4,423.2,eod,1.8000000000000114,0.125338,1.6746620000000114,52751.85300000036,1.0,2021-05-04,421.35,421.55,421.25,0.0,423.2,423.2,423.2,0.0,1.0,2021,81.53846153846226,0.4045310635603414,0.2287984274456639,0.1757326361146774,0.4035714285714188,397.6375,-1.0,420.07,419.9225,421.4039296911636,418.7360703088364,420.07,1,14,1,5,0.77303195,0.9488599733599732,0.6053571428571283,1.412499999999966
2021-05-18 09:15:00,2021-05-18 15:45:00,1,419.85,422.9,eod,3.0499999999999545,0.1252825,2.9247174999999546,92128.60124999857,1.0,2021-05-18,421.2,421.25,419.75,0.0,422.9,422.9,422.9,0.0,1.0,2021,78.00000000000107,0.6554138703302783,0.3928594686263412,0.2625544017039371,0.6607142857142898,397.6375,-1.0,418.61,417.5808333333333,420.45208120283314,416.7679187971668,418.61,1,9,1,5,0.857747,0.9600119047619046,0.9910714285714347,2.312500000000014
2021-07-15 10:15:00,2021-07-15 15:45:00,1,433.85,436.25,eod,2.3999999999999773,0.126103,2.273896999999977,71627.75549999929,1.0,2021-07-15,434.05,434.1,433.75,0.0,436.25,436.25,436.25,0.0,1.0,2021,45.71428571428548,0.1897299059904185,0.1938034405923143,-0.0040735346018958,0.5000000000000081,422.4214285714286,-1.0,433.745,433.23333333333335,434.4407767335497,433.0492232664503,433.745,1,10,3,7,0.6592937,0.9663219558219558,0.7500000000000122,1.7500000000000284
2021-08-03 13:45:00,2021-08-03 15:45:00,1,428.5,430.3,eod,1.8000000000000114,0.125764,1.6742360000000114,52738.43400000036,1.0,2021-08-03,428.4,428.65,428.4,0.0,430.3,430.3,430.3,0.0,1.0,2021,45.83333333333254,0.1032405581161128,0.0952211952449689,0.0080193628711439,0.2750000000000057,429.79285714285714,1.0,428.3675,428.1141666666666,428.8672631016521,427.8677368983479,428.3675,1,13,1,8,0.6837438,0.9671790986790988,0.4125000000000085,0.9625000000000199
2021-08-31 09:15:00,2021-08-31 15:45:00,1,411.25,419.5,eod,8.25,0.1249225,8.1250775,255939.94125,1.0,2021-08-31,411.25,411.4,410.75,0.0,419.5,419.5,419.5,0.0,1.0,2021,44.30379746835439,-0.087440027002799,-0.0586830309378939,-0.0287569960649051,0.6142857142857038,398.58214285714286,-1.0,411.595,411.585,412.388990587183,410.80100941281694,411.595,1,9,1,8,0.7692577,0.9886153846153846,0.9214285714285557,2.149999999999963
2021-10-26 09:15:00,2021-10-26 15:45:00,1,397.15,399.35,eod,2.200000000000045,0.123895,2.0761050000000454,65397.30750000143,1.0,2021-10-26,397.0,397.5,396.8,0.0,399.35,399.35,399.35,0.0,1.0,2021,60.24096385542173,0.4277459976528348,0.2736825273586131,0.1540634702942217,0.5464285714285738,398.39464285714286,1.0,396.01,395.4283333333333,397.3767479650486,394.6432520349514,396.01,1,9,1,10,0.7882736,0.8844393694540752,0.8196428571428607,1.9125000000000083
2021-11-22 10:50:00,2021-11-22 15:45:00,1,396.7,400.0,eod,3.300000000000012,0.123901,3.176099000000012,100047.11850000036,1.0,2021-11-22,396.9,397.05,396.7,0.0,400.0,400.0,400.0,0.0,1.0,2021,67.69230769230734,1.0666259586134856,1.1629981019977276,-0.0963721433842419,0.4499999999999927,397.55,1.0,396.0825,392.3558333333333,396.9980240086962,395.1669759913038,396.0825,1,10,0,11,0.7592539,0.8735842580621993,0.674999999999989,1.5749999999999744
2021-12-01 11:30:00,2021-12-01 15:45:00,1,380.35,383.0,eod,2.6499999999999773,0.1229005,2.527099499999977,79603.63424999928,1.0,2021-12-01,380.7,381.0,380.3,0.0,383.0,383.0,383.0,0.0,1.0,2021,93.05555555555684,1.0151625908973188,0.8494821411792475,0.1656804497180712,0.5464285714285657,386.5303571428572,1.0,378.59,376.7441666666666,380.7005250033154,376.47947499668464,378.59,1,11,2,12,0.7916499,0.9466731532356532,0.8196428571428486,1.91249999999998
2021-12-07 11:40:00,2021-12-07 15:45:00,1,393.75,396.15,eod,2.3999999999999773,0.123697,2.2763029999999773,71703.54449999929,1.0,2021-12-07,394.1,394.2,393.7,0.0,396.15,396.15,396.15,0.0,1.0,2021,70.00000000000037,0.318650939879717,0.265439586518529,0.053211353361188,0.6285714285714253,394.9535714285714,1.0,393.345,393.03583333333336,394.20149223428496,392.4885077657151,393.345,1,11,1,12,0.6970275,0.972394078144078,0.942857142857138,2.1999999999999886
