entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,net_krw_optimal
2021-10-18 09:15:00,2021-10-18 14:45:00,1,390.0,392.7,eod,2.6999999999999886,0.123481,2.5765189999999887,81160.34849999964,1.0,2021-10-18,390.1,390.25,389.55,0.0,392.7,392.9,392.7,0.0,1.0,2021,63.809523809523945,0.4404072259727059,0.3429865774319567,0.0974206485407491,0.7535714285714212,378.3553571428571,-1.0,389.295,388.7825,390.7610724474091,387.8289275525909,389.295,1,9,0,10,0.8320154,0.895752474105415,81160.34849999964
2021-10-26 09:15:00,2021-10-26 15:45:00,1,397.15,399.35,eod,2.200000000000045,0.123895,2.0761050000000454,65397.30750000143,1.0,2021-10-26,397.0,397.5,396.8,0.0,399.35,399.35,399.35,0.0,1.0,2021,60.24096385542173,0.4277459976528348,0.2736825273586131,0.1540634702942217,0.5464285714285738,398.39464285714286,1.0,396.01,395.4283333333333,397.3767479650486,394.6432520349514,396.01,1,9,1,10,0.7882736,0.884439369454075,65397.30750000143
2021-11-22 10:50:00,2021-11-22 15:45:00,1,396.7,400.0,eod,3.300000000000012,0.123901,3.176099000000012,100047.11850000036,1.0,2021-11-22,396.9,397.05,396.7,0.0,400.0,400.0,400.0,0.0,1.0,2021,67.69230769230734,1.0666259586134856,1.1629981019977276,-0.0963721433842419,0.4499999999999927,397.55,1.0,396.0825,392.3558333333333,396.9980240086962,395.1669759913038,396.0825,1,10,0,11,0.7592539,0.8735842580621993,100047.11850000039
2021-12-01 11:30:00,2021-12-01 15:45:00,1,380.35,383.0,eod,2.6499999999999773,0.1229005,2.527099499999977,79603.63424999928,1.0,2021-12-01,380.7,381.0,380.3,0.0,383.0,383.0,383.0,0.0,1.0,2021,93.05555555555684,1.0151625908973188,0.8494821411792475,0.1656804497180712,0.5464285714285657,386.5303571428572,1.0,378.59,376.7441666666666,380.7005250033154,376.47947499668464,378.59,1,11,2,12,0.7916499,0.9466731532356532,79603.63424999928
2021-12-02 10:10:00,2021-12-02 15:45:00,1,384.2,389.0,eod,4.800000000000011,0.123196,4.676804000000011,147319.32600000035,1.0,2021-12-02,383.9,384.3,383.25,0.0,389.0,389.0,389.0,0.0,1.0,2021,66.47058823529386,0.2332636416025479,0.2033269342365382,0.0299367073660097,1.4000000000000057,386.5303571428572,1.0,383.225,382.6325,385.0184089855849,381.4315910144151,383.225,1,10,3,12,0.8178089,0.9606654734154731,147319.32600000035
2021-12-07 11:40:00,2021-12-07 15:45:00,1,393.75,396.15,eod,2.3999999999999773,0.123697,2.2763029999999773,71703.54449999929,1.0,2021-12-07,394.1,394.2,393.7,0.0,396.15,396.15,396.15,0.0,1.0,2021,70.00000000000037,0.318650939879717,0.265439586518529,0.053211353361188,0.6285714285714253,394.9535714285714,1.0,393.345,393.03583333333336,394.20149223428496,392.4885077657151,393.345,1,11,1,12,0.6970275,0.972394078144078,71703.54449999929
2022-01-28 11:20:00,2022-01-28 15:45:00,1,353.7,356.6,eod,2.900000000000034,0.121309,2.778691000000034,87528.76650000107,1.0,2022-01-28,354.7,354.7,353.6,0.0,356.6,356.6,356.6,0.0,1.0,2022,75.48387096774168,1.1675539868899136,0.9198499907936404,0.2477039960962732,0.9178571428571486,345.61785714285713,-1.0,352.035,350.46583333333336,355.63954391596343,348.4304560840365,352.035,1,11,4,1,0.7144779,0.8891117909867908,87528.76650000107
2022-02-04 10:40:00,2022-02-04 14:30:00,1,363.25,365.5,pivot,2.25,0.1218625,2.1281375,67036.33124999999,1.0,2022-02-04,363.1,363.4,362.8,0.0,365.75,365.8,365.45,0.0,1.0,2022,22.222222222221845,-0.1735517196586329,0.04261849690506,-0.216170216563693,0.75,345.61785714285713,-1.0,364.6950000000001,364.2225,366.5072100494254,362.8827899505747,364.6950000000001,1,10,4,2,0.8116536,0.958138528138528,67036.33124999999
2022-04-13 09:20:00,2022-04-13 15:45:00,1,353.9,358.8,eod,4.900000000000034,0.121381,4.778619000000034,150526.49850000106,1.0,2022-04-13,353.65,353.9,353.15,0.0,358.8,358.8,358.8,0.0,1.0,2022,58.82352941176411,0.4169588738481593,0.2974485958084646,0.1195102780396947,0.5178571428571429,350.7392857142857,-1.0,352.9725,352.3583333333333,354.2089954720625,351.73600452793744,352.9725,1,9,2,4,0.7124446,0.9416443461222872,150526.49850000106
2022-04-28 09:30:00,2022-04-28 15:45:00,1,345.6,349.9,eod,4.2999999999999545,0.120865,4.179134999999954,131642.75249999855,1.0,2022-04-28,345.6,345.9,345.5,0.0,349.9,349.9,349.9,0.0,1.0,2022,55.91397849462373,0.0907252441539867,0.1140227513331101,-0.0232975071791233,0.6964285714285755,341.9535714285714,-1.0,345.7625,345.6816666666667,346.59719187486525,344.92780812513473,345.7625,1,9,3,4,0.7135015,0.9651373348873348,131642.75249999855
2022-05-20 09:15:00,2022-05-20 15:45:00,1,346.25,349.65,eod,3.3999999999999773,0.120877,3.279122999999977,103292.37449999928,1.0,2022-05-20,346.5,346.75,346.25,0.0,349.65,349.65,349.65,0.0,1.0,2022,75.34246575342453,0.6172626620173673,0.1842343808531741,0.4330282811641932,0.7321428571428531,356.5696428571428,1.0,343.475,343.18416666666667,346.1820084477848,340.7679915522152,343.475,1,9,4,5,0.77124274,0.9781805971805972,103292.37449999928
2022-06-24 09:15:00,2022-06-24 14:45:00,1,307.6,313.4,pivot,5.7999999999999545,0.11863,5.681369999999955,178963.15499999857,1.0,2022-06-24,308.25,308.4,306.9,0.0,313.55,313.7,313.25,0.0,1.0,2022,56.11510791366929,0.1567421837740426,-0.0337897134250625,0.1905318971991051,0.9107142857142816,303.73035714285714,-1.0,306.8825,306.8275,308.40574964196776,305.3592503580322,306.8825,1,9,4,6,0.72752523,0.9622014790764792,178963.15499999857
2022-07-18 10:20:00,2022-07-18 15:45:00,1,313.05,316.0,eod,2.9499999999999886,0.1188715,2.831128499999988,89180.54774999963,1.0,2022-07-18,312.9,313.2,312.7,0.0,316.0,316.0,316.0,0.0,1.0,2022,61.34453781512578,1.0331294217506295,1.0303554621243478,0.0027739596262819,0.7892857142857151,314.6678571428571,1.0,311.64250000000004,309.1258333333334,314.8305162117984,308.4544837882017,311.64250000000004,1,10,0,7,0.78030205,0.8054664567458681,89180.54774999963
2022-09-13 09:20:00,2022-09-13 15:45:00,1,316.75,320.2,eod,3.4499999999999886,0.1191085,3.330891499999989,104923.08224999964,1.0,2022-09-13,316.7,317.0,316.4,0.0,320.2,320.2,320.2,0.0,1.0,2022,90.7103825136615,1.659640117556819,0.7604540457211655,0.8991860718356535,0.9857142857142744,305.6982142857143,-1.0,310.9075,309.9391666666667,317.0946917784457,304.72030822155426,310.9075,1,9,1,9,0.66963345,0.9509078352203352,104923.08224999964
2022-12-22 10:00:00,2022-12-22 15:45:00,1,302.35,305.05,eod,2.6999999999999886,0.118222,2.581777999999989,81326.00699999965,1.0,2022-12-22,302.05,302.5,302.05,0.0,305.05,305.05,305.05,0.0,1.0,2022,61.36363636363672,0.2845205855053905,0.2579772351386601,0.0265433503667303,0.5607142857142914,300.1642857142857,-1.0,301.8375,301.5191666666667,303.11930587974007,300.5556941202599,301.8375,1,10,3,12,0.6613708,0.9621119550384256,81326.00699999965
